"classAttribute_attributes_0","classAttribute_attributes_1","classAttribute_baseIri","classAttribute_id","classAttribute_instances","classAttribute_iri","classAttribute_label_IRI-based","classAttribute_label_undefined","classAttribute_pos_0","classAttribute_pos_1","classAttribute_subClasses_0","classAttribute_subClasses_1","classAttribute_subClasses_2","classAttribute_subClasses_3","classAttribute_subClasses_4","classAttribute_subClasses_5","classAttribute_subClasses_6","classAttribute_subClasses_7","classAttribute_subClasses_8","classAttribute_superClasses_0","classAttribute_union_0","classAttribute_union_1"
"external","","http://www.hozo.jp/rdf/startuplife.xml","58","0","http://www.hozo.jp/rdf/startuplife.xml#university","university","university","","","","","","","","","","","","1","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","121","0","http://www.hozo.jp/rdf/startuplife.xml#Finance","Finance","Finance","","","","","","","","","","","","5","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","41","0","http://www.hozo.jp/rdf/startuplife.xml#equal","equal","equal","","","","","","","","","","","","29","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","161","0","http://www.hozo.jp/rdf/startuplife.xml#tablet","tablet","tablet","","","","","","","","","","","","83","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","119","0","http://www.hozo.jp/rdf/startuplife.xml#part-time_job","part-time_job","part-time job","","","","","","","","","","","","107","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","49","0","http://www.hozo.jp/rdf/startuplife.xml#sameAs","sameAs","sameAs","1905.0007455","-489.861828395","","","","","","","","","","29","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","69","0","http://www.hozo.jp/rdf/startuplife.xml#Location","Location","Location","1336.44504537","1137.82952255","","","","","","","","","","17","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","89","0","http://www.hozo.jp/rdf/startuplife.xml#Official_certification","Official_certification","Official certification","568.313024333","1230.68279337","150","101","110","99","166","167","","","","9","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","150","0","http://www.hozo.jp/rdf/startuplife.xml#gym_card","gym_card","gym card","","","","","","","","","","","","89","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","147","0","http://www.hozo.jp/rdf/startuplife.xml#suika_card","suika_card","suika card","","","","","","","","","","","","88","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","31","0","http://www.hozo.jp/rdf/startuplife.xml#health_insurance","health_insurance","health insurance","","","","","","","","","","","","32","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","182","0","http://www.hozo.jp/rdf/startuplife.xml#Pay","Pay","Pay","","","","","","","","","","","","18","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","104","0","http://www.hozo.jp/rdf/startuplife.xml#group","group","group","","","","","","","","","","","","1","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","39","0","http://www.hozo.jp/rdf/startuplife.xml#Take_bus","Take_bus","Take bus","","","","","","","","","","","","37","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","166","0","http://www.hozo.jp/rdf/startuplife.xml#passport","passport","passport","","","","","","","","","","","","89","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","83","0","http://www.hozo.jp/rdf/startuplife.xml#digial_device","digial_device","digial device","763.631983349","1379.93946644","161","82","186","108","","","","","","9","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","188","0","http://www.hozo.jp/rdf/startuplife.xml#city_hall","city_hall","city hall","","","","","","","","","","","","60","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","18","0","http://www.hozo.jp/rdf/startuplife.xml#Finance_activity","Finance_activity","Finance activity","1992.18312628","614.341603606","182","93","191","91","","","","","","14","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","22","0","http://www.hozo.jp/rdf/startuplife.xml#Communication_activity","Communication_activity","Communication activity","1960.66606517","493.959090867","54","152","109","122","197","","","","","14","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","118","0","http://www.hozo.jp/rdf/startuplife.xml#motor_bike","motor_bike","motor bike","","","","","","","","","","","","75","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","197","0","http://www.hozo.jp/rdf/startuplife.xml#send_email","send_email","send email","","","","","","","","","","","","22","",""
